"","X","Year","Age","Female","Male","Total"
"1",1,1959,0,0.0215708779919227,0.0262458713068564,0.041986
"2",2,1959,1,0.00438837809383929,0.00468882882246403,0.006607
"3",3,1959,2,0.00206554654795618,0.00225911107492974,0.002632
"4",4,1959,3,0.00139295365535797,0.00165818373370468,0.001669
"5",5,1959,4,0.00110204962554309,0.00142453318342815,0.001398
"6",6,1959,5,0.00103755666695926,0.00141343295104436,0.001206
"7",7,1959,6,0.000876614767577958,0.00133340814398406,0.00117
"8",8,1959,7,0.000785094065584322,0.00128795756217132,0.001073
"9",9,1959,8,0.000704210386834326,0.00114393241439568,0.001022
"10",10,1959,9,0.000611682512818995,0.000983260436504298,0.000804
"11",11,1959,10,0.000650619216155604,0.00103855043128862,0.000918
"12",12,1959,11,0.00059100728505552,0.000890728962126735,0.000668
"13",13,1959,12,0.000611591760545347,0.000841971392384122,0.000826
"14",14,1959,13,0.000778602062010693,0.00106368636780113,0.000787
"15",15,1959,14,0.000823895077878773,0.00114307209240099,0.000897
"16",16,1959,15,0.000880835457885115,0.00135384982570153,0.000983
"17",17,1959,16,0.000887059819961387,0.00163267918581687,0.000967
"18",18,1959,17,0.00093230421936673,0.00179544485193761,0.001288
"19",19,1959,18,0.00107077509940534,0.00203166670105051,0.001608
"20",20,1959,19,0.00118810643794973,0.0020892037322111,0.001501
"21",21,1959,20,0.00111546480922852,0.00206158248652938,0.00178
"22",22,1959,21,0.00115907329087514,0.00218708641139368,0.001516
"23",23,1959,22,0.00127015589839344,0.00264895143357533,0.001909
"24",24,1959,23,0.00129765319708787,0.00278491128931244,0.002031
"25",25,1959,24,0.00138215332238143,0.00305492575031313,0.002086
"26",26,1959,25,0.00138385832821396,0.00303114415741979,0.002162
"27",27,1959,26,0.00129624287432069,0.00286906687930889,0.002087
"28",28,1959,27,0.00152289102764483,0.00339437381760558,0.00224
"29",29,1959,28,0.00132833496014778,0.00310670060649191,0.002417
"30",30,1959,29,0.00166506301861155,0.00384248328617161,0.002304
"31",31,1959,30,0.0014540554868378,0.00342370428093715,0.002842
"32",32,1959,31,0.00174221269642376,0.00395077951113199,0.002385
"33",33,1959,32,0.00165853525083575,0.00394373637371924,0.002976
"34",34,1959,33,0.00178851403591486,0.00424141618678802,0.002698
"35",35,1959,34,0.00195277928841355,0.00453313146696651,0.002828
"36",36,1959,35,0.00202523231701411,0.00461170199381005,0.00321
"37",37,1959,36,0.00205075351264316,0.00479836624456142,0.002909
"38",38,1959,37,0.00255529150606266,0.00554471614089576,0.003258
"39",39,1959,38,0.00227963808698113,0.00493959768544002,0.003794
"40",40,1959,39,0.00285439287187572,0.00611424195289439,0.003107
"41",41,1959,40,0.00228057529328744,0.00514751712002826,0.004284
"42",42,1959,41,0.00337748658509955,0.00705112660969913,0.003718
"43",43,1959,42,0.00298489368117453,0.00631174702289808,0.004388
"44",44,1959,43,0.00307328690198255,0.00671944967619732,0.004197
"45",45,1959,44,0.00324032738713161,0.00720413678976167,0.004532
"46",46,1959,45,0.00366662581273161,0.00792699488450408,0.005396
"47",47,1959,46,0.00345367622351494,0.00791513736591841,0.005036
"48",48,1959,47,0.00459144355753151,0.00978233025498818,0.005647
"49",49,1959,48,0.00396500951885525,0.00910712209677974,0.006545
"50",50,1959,49,0.00544597652295199,0.0118384695773244,0.006309
"51",51,1959,50,0.00469393859197226,0.0110563013104194,0.008111
"52",52,1959,51,0.00561071748900603,0.013146775384552,0.006831
"53",53,1959,52,0.00577294317533047,0.0139255865826513,0.009348
"54",54,1959,53,0.00629215748231419,0.0155823898336747,0.00882
"55",55,1959,54,0.00697721814115198,0.0169777725005591,0.010035
"56",56,1959,55,0.00705384020053486,0.018098495639681,0.010956
"57",57,1959,56,0.00741070532768501,0.0191333699022368,0.011059
"58",58,1959,57,0.0101206281757554,0.0259216365522516,0.012041
"59",59,1959,58,0.00801064054685466,0.0205764058100713,0.013559
"60",60,1959,59,0.0138840622715681,0.0280636116203598,0.014222
"61",61,1959,60,0.009971442385398,0.024460139346869,0.01766
"62",62,1959,61,0.0146327305008698,0.0308732123277945,0.014964
"63",63,1959,62,0.0145208040257296,0.0306929793658561,0.021219
"64",64,1959,63,0.0158511329674447,0.0331733144173327,0.020758
"65",65,1959,64,0.0183306412825209,0.0381462843121463,0.023306
"66",66,1959,65,0.0170111108260412,0.0360608374165353,0.025394
"67",67,1959,66,0.0202417258132536,0.0405274676304057,0.023921
"68",68,1959,67,0.0241853701862706,0.0470569817472604,0.029994
"69",69,1959,68,0.0233048170501816,0.042916145206843,0.032123
"70",70,1959,69,0.0366282159203539,0.0613444016466857,0.032587
"71",71,1959,70,0.0235115502880549,0.0436988770612632,0.038895
"72",72,1959,71,0.0454831696957666,0.0670897971905998,0.036135
"73",73,1959,72,0.0410472007582275,0.064540938173043,0.053271
"74",74,1959,73,0.0449968676001301,0.0678525327863847,0.051478
"75",75,1959,74,0.0521344988087992,0.076497755204734,0.05502
"76",76,1959,75,0.0487572979520225,0.0751653717669122,0.06259
"77",77,1959,76,0.0575885263818743,0.0790152284739338,0.062371
"78",78,1959,77,0.0721472156846889,0.101723781033919,0.068001
"79",79,1959,78,0.0671986052566594,0.0899714215541837,0.088111
"80",80,1959,79,0.10786992446755,0.12577140335356,0.084601
"81",81,1959,80,0.0923873546182841,0.113595976846035,0.113568
"82",82,1959,81,0.0889047387741467,0.112222208661183,0.085762
"83",83,1959,82,0.107551222111709,0.132312603094013,0.118844
"84",84,1959,83,0.112150660825208,0.1376935096732,0.122123
"85",85,1959,84,0.124978922720972,0.150819436538533,0.132239
"86",86,1959,85,0.138472147364001,0.161336564057606,0.15089
"87",87,1959,86,0.142216686980232,0.166271579817902,0.161505
"88",88,1959,87,0.148720244332301,0.17318350024722,0.160927
"89",89,1959,88,0.144881205258585,0.170156575933574,0.165327
"90",90,1959,89,0.16989296018836,0.189544806435495,0.173196
"91",91,1959,90,0.179941149983691,0.195114593606241,0.226935
"92",92,1959,91,0.138564056345584,0.155430949752412,0.138595
"93",93,1959,92,0.162523405314108,0.179730707410897,0.178648
"94",94,1959,93,0.15770996400566,0.170014099823753,0.176074
"95",95,1959,94,0.167522177521746,0.173429722675801,0.166784
"96",96,1959,95,0.20169309042343,0.220332487859781,0.212278
"97",97,1959,96,0.221289295586908,0.256744337139706,0.256809
"98",98,1959,97,0.245389357910617,0.261152976273248,0.252772
"99",99,1959,98,0.264121068285381,0.270980330581204,0.326902
"100",100,1959,99,0.2509989605023,0.259258380639555,0.280915
"101",101,1959,100,0.265191572027868,0.272192651798753,0.298857
"102",102,1959,101,0.280230287889625,0.285588959488223,0.318105
"103",103,1959,102,0.295991522700049,0.299655555728948,0.338752
"104",104,1959,103,0.312625552048516,0.315062544790777,0.360996
"105",105,1959,104,0.329904776435766,0.33143182683772,0.384987
"106",106,1959,105,0.348255063009511,0.347159229382268,0.410595
"107",107,1959,106,0.367134707966809,0.364678096031863,0.43798
"108",108,1959,107,0.387539249229238,0.38351665735415,0.467742
"109",109,1959,108,0.407949034157509,0.403617816820277,0.500074
"110",110,1959,109,0.856479924281552,0.869384646586345,0.53461
"111",111,1959,110,0.672083,0.67903,0.673839
"112",112,1960,0,0.0192870793267648,0.023497985707961,0.037564
"113",113,1960,1,0.00371219191268429,0.00397758459634718,0.005403
"114",114,1960,2,0.00179658699334955,0.00201000948116698,0.002258
"115",115,1960,3,0.00126958860079246,0.00150140321505982,0.001566
"116",116,1960,4,0.000993772974234533,0.00131386698063821,0.001188
"117",117,1960,5,0.00084855280138254,0.00125503620186627,0.001133
"118",118,1960,6,0.000820348417787049,0.0012619360716052,0.001032
"119",119,1960,7,0.000712402390803623,0.00115749343934587,0.001008
"120",120,1960,8,0.000634561790484003,0.00105601354825988,0.000896
"121",121,1960,9,0.000590343598137222,0.000957288832260032,0.000799
