"Year","Age","Female","Male","Total"
1959,0,-0.0206706134373194,-0.0205308811309851,0.041986
1959,1,-0.0199891721119848,-0.0181786851835543,0.006607
1959,2,-0.000922192104851572,-0.000845189542868277,0.002632
1959,3,-0.00112885761427379,-0.00114058208546365,0.001669
1959,4,-0.00220155746843566,-0.00319868404908388,0.001398
1959,5,0.00951124754214308,0.00893667583060655,0.001206
1959,6,-0.00457322804397063,-0.00205459933314674,0.00117
1959,7,-0.0137106020786281,-0.0103884101792313,0.001073
1959,8,-0.00573407199184722,0.00128811408882532,0.001022
1959,9,-0.0395524753151709,-0.0343336189677022,0.000804
1959,10,0.0730372797073033,0.0769548825613884,0.000918
1959,11,-0.0285456830190688,-0.0266427290853513,0.000668
1959,12,-0.00471081017597335,-0.00402424761588031,0.000826
1959,13,-0.00477808251749233,-0.0032030991362435,0.000787
1959,14,0.000121359002665823,0.00194469010003581,0.000897
1959,15,0.000812876065363878,0.0029189505031751,0.000983
1959,16,0.000661062208015388,0.00101186746836168,0.000967
1959,17,-0.000254898049064299,0.00221948951485675,0.001288
1959,18,-0.00552611214583765,-0.00380753313106268,0.001608
1959,19,0.00421983578743681,0.000448342052480869,0.001501
1959,20,-0.00514240271037225,-0.00497885513010775,0.00178
1959,21,0.00108430960528618,-0.000280127067840118,0.001516
1959,22,-0.00603138465918615,-0.00449410278079922,0.001909
1959,23,-0.00306409926224067,-0.00273684030255079,0.002031
1959,24,-0.00335706943985984,-0.00247318036893416,0.002086
1959,25,-0.006986802366075,-0.00560523660983876,0.002162
1959,26,-0.00202161053370736,-0.00206989446892163,0.002087
1959,27,-0.00187617526480637,-0.000351814271362973,0.00224
1959,28,-0.00482688450271073,-0.0046609422595256,0.002417
1959,29,0.00425931238422433,0.00359875435727988,0.002304
1959,30,-0.00784163029728097,-0.00725608025294677,0.002842
1959,31,0.0052137363564053,0.00365169170984803,0.002385
1959,32,-0.0054568211892843,-0.00612661022206351,0.002976
1959,33,-0.000214977004343687,-0.00248591156319571,0.002698
1959,34,0.00147880989360974,-0.000238115107381598,0.002828
1959,35,-0.00317724057085122,-0.00400766687230106,0.00321
1959,36,-0.00143834923917302,-0.00317541201664589,0.002909
1959,37,0.00031580968544626,0.00122106104374378,0.003258
1959,38,-0.0086465535540923,-0.00836421082313635,0.003794
1959,39,0.00554413151962851,0.00456970987644972,0.003107
1959,40,-0.00670368908279302,-0.00608591194521148,0.004284
1959,41,0.00451377877344371,0.00227677778916175,0.003718
1959,42,-0.00546985815884847,-0.00527567043173383,0.004388
1959,43,0.000166484823449531,0.000270595780446325,0.004197
1959,44,0.00446769182128887,0.00131947072233821,0.004532
1959,45,-0.000996039385625342,-0.00269415744383067,0.005396
1959,46,0.00222177776220974,-0.000568127625495162,0.005036
1959,47,0.00931875694245702,0.00320386415463593,0.005647
1959,48,-0.00897902771772435,-0.00639535096046906,0.006545
1959,49,0.0119807314304646,0.00739856098893058,0.006309
1959,50,-0.00451921134687064,-0.00671058621382107,0.008111
1959,51,0.00780458069663643,0.00520037502190968,0.006831
1959,52,0.000397632014236458,-0.00263602171825673,0.009348
1959,53,0.00548592844609873,0.00103141751918983,0.00882
1959,54,0.00298691384396534,0.000153983625921906,0.010035
1959,55,-0.00692554730336902,-0.00203562460548925,0.010956
1959,56,-0.00252480035047935,0.00012096914727256,0.011059
1959,57,0.0159769742291405,0.0180732261010883,0.012041
1959,58,-0.0185214759222383,-0.0118374619363722,0.013559
1959,59,0.0186369230743008,0.00683142183356174,0.014222
1959,60,-0.016183656200541,-0.00940883352633248,0.01766
1959,61,0.0150455584255521,0.00757020215760997,0.014964
1959,62,-0.00446841049002717,-0.00590597750376086,0.021219
1959,63,-0.00347836309340824,-0.00339168334189036,0.020758
1959,64,-0.000116849432471349,-0.000246150115288692,0.023306
1959,65,-0.0129780229833348,-0.00793587127992309,0.025394
1959,66,-0.00517096441448845,-0.00214481103117689,0.023921
1959,67,-0.0084684137782644,0.000820250507493746,0.029994
1959,68,-0.00998825469857271,-0.00775381376043976,0.032123
1959,69,0.01892250942908,0.0132901711460253,0.032587
1959,70,-0.0246057718675815,-0.0152122624281533,0.038895
1959,71,0.0211425016571407,0.0114352483273896,0.036135
1959,72,-0.00654749144253629,-0.00646321040698933,0.053271
1959,73,-0.00376151154747644,-0.00276227478047753,0.051478
1959,74,0.00141811693183178,3.52984970455743e-05,0.05502
1959,75,-0.0164947790202135,-0.0106351927304526,0.06259
1959,76,-0.0025843443002557,-0.0031005933965518,0.062371
1959,77,0.00190930784038493,0.00683741006097068,0.068001
1959,78,-0.00775210887316922,-0.00820381087422838,0.088111
1959,79,0.270824145134775,0.173021215156375,0.084601
1959,80,-0.000547573015433786,-0.000487154361767539,0.113568
1959,81,0.000284278789577441,0.000333939578796233,0.085762
1959,82,-9.40730010646732e-05,-0.000237734067683236,0.118844
1959,83,-8.34870411295702e-05,-2.21643187348871e-05,0.122123
1959,84,-0.000528979575301837,-0.00088504318178853,0.132239
1959,85,-0.000106747712762323,-6.37693807689766e-05,0.15089
1959,86,-0.000257347657876604,-0.000130544276133519,0.161505
1959,87,-0.000127658103984938,-0.000122737423687201,0.160927
1959,88,-0.00014708691482429,-2.4520568534992e-05,0.165327
1959,89,-0.00121252599558815,-0.0014886460037431,0.173196
1959,90,-0.000406520508094885,0.000378253027486031,0.226935
1959,91,4.46790461426447e-05,-6.1189695850314e-05,0.138595
1959,92,-0.000102676017169019,9.2077250242464e-05,0.178648
1959,93,-6.964313694736e-05,9.62171510997283e-05,0.176074
